TIME,KW
8/29/2018 0:15,0.64
8/29/2018 0:30,0.74
8/29/2018 0:45,1.1
8/29/2018 1:00,0.92
8/29/2018 1:15,0.92
8/29/2018 1:30,0.64
8/29/2018 1:45,0.64
8/29/2018 2:00,1.01
8/29/2018 2:15,0.92
8/29/2018 2:30,0.92
8/29/2018 2:45,0.83
8/29/2018 3:00,0.74
8/29/2018 3:15,0.83
8/29/2018 3:30,0.92
8/29/2018 3:45,0.92
8/29/2018 4:00,0.92
8/29/2018 4:15,0.74
8/29/2018 4:30,0.74
8/29/2018 4:45,0.83
8/29/2018 5:00,0.92
8/29/2018 5:15,0.92
8/29/2018 5:30,0.74
8/29/2018 5:45,0.64
8/29/2018 6:00,0.83
8/29/2018 6:15,0.92
8/29/2018 6:30,1.01
8/29/2018 6:45,0.74
8/29/2018 7:00,0.64
8/29/2018 7:15,0.74
8/29/2018 7:30,0.74
8/29/2018 7:45,1.01
8/29/2018 8:00,0.55
8/29/2018 8:15,0.92
8/29/2018 8:30,0.64
8/29/2018 8:45,0.83
8/29/2018 9:00,0.83
8/29/2018 9:15,0.83
8/29/2018 9:30,1.29
8/29/2018 9:45,1.1
8/29/2018 10:00,1.29
8/29/2018 10:15,1.66
8/29/2018 10:30,1.84
8/29/2018 10:45,2.02
8/29/2018 11:00,1.66
8/29/2018 11:15,1.01
8/29/2018 11:30,0.46
8/29/2018 11:45,0.74
8/29/2018 12:00,0.92
8/29/2018 12:15,0.92
8/29/2018 12:30,0.74
8/29/2018 12:45,0.83
8/29/2018 13:00,0.74
8/29/2018 13:15,0.46
8/29/2018 13:30,0.46
8/29/2018 13:45,0.64
8/29/2018 14:00,0.55
8/29/2018 14:15,0.55
8/29/2018 14:30,0.37
8/29/2018 14:45,0.28
8/29/2018 15:00,0.74
8/29/2018 15:15,1.01
8/29/2018 15:30,0.64
8/29/2018 15:45,0.83
8/29/2018 16:00,0.55
8/29/2018 16:15,0.46
8/29/2018 16:30,0.74
8/29/2018 16:45,0.83
8/29/2018 17:00,0.83
8/29/2018 17:15,0.74
8/29/2018 17:30,0.55
8/29/2018 17:45,1.1
8/29/2018 18:00,1.75
8/29/2018 18:15,0.92
8/29/2018 18:30,1.01
8/29/2018 18:45,0.74
8/29/2018 19:00,0.64
8/29/2018 19:15,0.46
8/29/2018 19:30,0.64
8/29/2018 19:45,0.83
8/29/2018 20:00,0.92
8/29/2018 20:15,1.1
8/29/2018 20:30,1.01
8/29/2018 20:45,1.1
8/29/2018 21:00,0.83
8/29/2018 21:15,0.74
8/29/2018 21:30,1.01
8/29/2018 21:45,3.96
8/29/2018 22:00,3.96
8/29/2018 22:15,3.96
8/29/2018 22:30,4.05
8/29/2018 22:45,1.66
8/29/2018 23:00,0.55
8/29/2018 23:15,0.83
8/29/2018 23:30,3.68
8/29/2018 23:45,3.77
8/30/2018 0:00,0.8
8/30/2018 0:15,0.8
8/30/2018 0:30,0.73
8/30/2018 0:45,0.73
8/30/2018 1:00,0.94
8/30/2018 1:15,0.65
8/30/2018 1:30,0.44
8/30/2018 1:45,0.58
8/30/2018 2:00,0.65
8/30/2018 2:15,0.73
8/30/2018 2:30,0.65
8/30/2018 2:45,0.44
8/30/2018 3:00,0.51
8/30/2018 3:15,0.65
8/30/2018 3:30,1.81
8/30/2018 3:45,3.19
8/30/2018 4:00,3.05
8/30/2018 4:15,2.97
8/30/2018 4:30,3.19
8/30/2018 4:45,3.26
8/30/2018 5:00,3.26
8/30/2018 5:15,1.31
8/30/2018 5:30,0.58
8/30/2018 5:45,0.65
8/30/2018 6:00,0.65
8/30/2018 6:15,0.58
8/30/2018 6:30,0.51
8/30/2018 6:45,0.65
8/30/2018 7:00,0.51
8/30/2018 7:15,0.44
8/30/2018 7:30,0.65
8/30/2018 7:45,0.51
8/30/2018 8:00,0.65
8/30/2018 8:15,0.87
8/30/2018 8:30,0.73
8/30/2018 8:45,0.51
8/30/2018 9:00,0.8
8/30/2018 9:15,1.09
8/30/2018 9:30,1.52
8/30/2018 9:45,0.73
8/30/2018 10:00,0.15
8/30/2018 10:15,0.44
8/30/2018 10:30,0.65
8/30/2018 10:45,0.51
8/30/2018 11:00,0.22
8/30/2018 11:15,0.22
8/30/2018 11:30,0.44
8/30/2018 11:45,0.65
8/30/2018 12:00,0.58
8/30/2018 12:15,0.51
8/30/2018 12:30,0.22
8/30/2018 12:45,0.36
8/30/2018 13:00,0.51
8/30/2018 13:15,0.51
